ID_resp,gender,personality,ID_question,positive/negative,simple/detailed
37,F,IN,5,POS,DET
37,F,IN,6,POS,DET
37,F,IN,7,NEG,SIM
38,M,IN,1,NEG,DET
38,M,IN,2,NEG,SIM
38,M,IN,3,POS,DET
38,M,IN,4,POS,SIM
38,M,IN,5,NEG,SIM
38,M,IN,6,NEG,SIM
38,M,IN,7,NEG,SIM
39,M,EX,1,POS,DET
39,M,EX,2,NEG,SIM
39,M,EX,3,POS,DET
39,M,EX,4,NEG,DET
39,M,EX,5,NEG,SIM
39,M,EX,6,NEG,SIM
39,M,EX,7,NEG,SIM
40,F,EX,1,POS,DET
40,F,EX,2,NEG,DET
40,F,EX,3,NEG,DET
40,F,EX,4,POS,DET
40,F,EX,5,POS,DET
40,F,EX,6,POS,DET
40,F,EX,7,NEG,SIM
41,M,IN,1,POS,DET
41,M,IN,2,POS,SIM
41,M,IN,3,NEG,SIM
41,M,IN,4,POS,DET
41,M,IN,5,NEG,SIM
41,M,IN,6,NEG,SIM
41,M,IN,7,NEG,SIM
42,M,EX,1,POS,DET
42,M,EX,2,NEG,DET
42,M,EX,3,NEG,DET
42,M,EX,4,POS,DET
42,M,EX,5,POS,DET
42,M,EX,6,POS,DET
42,M,EX,7,NEG,SIM
43,M,EX,1,NEG,DET
43,M,EX,2,NEG,SIM
43,M,EX,3,NEG,DET
43,M,EX,4,NEG,DET
43,M,EX,5,NEG,DET
43,M,EX,6,NEG,SIM
43,M,EX,7,NEG,SIM
